user_id,registration_date,retention_day1,retention_day7,retention_day30
10001,2024-01-05,1,1,1
10002,2024-01-08,1,1,0
10003,2024-01-12,1,0,0
10004,2024-01-15,1,1,1
10005,2024-01-18,1,0,0
10006,2024-01-22,1,1,0
10007,2024-01-25,1,1,1
10008,2024-01-28,1,0,0
10009,2024-02-03,1,1,1
10010,2024-02-07,1,1,0
10011,2024-02-10,1,1,1
10012,2024-02-14,1,0,0
10013,2024-02-18,1,1,0
10014,2024-02-21,1,1,1
10015,2024-02-25,1,0,0
10016,2024-02-28,1,1,0
10017,2024-03-02,1,1,1
10018,2024-03-06,1,0,0
10019,2024-03-09,1,1,0
10020,2024-03-13,1,1,1
10021,2024-03-16,1,0,0
10022,2024-03-20,1,1,0
10023,2024-03-23,1,1,1
10024,2024-03-27,1,0,0
10025,2024-03-30,1,1,0
10026,2024-04-04,1,0,0
10027,2024-04-08,1,0,0
10028,2024-04-11,1,0,0
10029,2024-04-15,1,0,0
10030,2024-04-18,1,0,0
10031,2024-04-22,1,0,0
10032,2024-04-25,1,0,0
10033,2024-04-28,1,0,0
10034,2024-04-30,1,0,0
10035,2024-05-05,1,1,0
10036,2024-05-10,1,1,1
10037,2024-05-14,1,1,0
10038,2024-05-18,1,1,1
10039,2024-05-22,1,0,0
10040,2024-05-26,1,1,0
10041,2024-05-30,1,1,1
10042,2024-06-04,1,1,1
10043,2024-06-08,1,1,0
10044,2024-06-12,1,1,1
10045,2024-06-16,1,0,0
10046,2024-06-20,1,1,0
10047,2024-06-24,1,1,1
10048,2024-06-28,1,1,0
